Date,VisitorNeutral,HomeNeutral,deltaOEFF,deltaDEFF,Y
2016,Boston,Atlanta,-1.8,-2.19999999999999,TRUE
2016,Dallas,Oklahoma City,6.5,-1.39999999999999,TRUE
2016,Detroit,Cleveland,4.7,-1,TRUE
2016,Charlotte,Miami,-1.10000000000001,0.100000000000009,TRUE
2016,Memphis,San Antonio,4.89999999999999,-8.8,TRUE
2016,Portland,LA Clippers,-0.5,-4.09999999999999,TRUE
2016,Indiana,Toronto,5.3,2.3,TRUE
2016,Dallas,Oklahoma City,6.5,-1.39999999999999,FALSE
2016,Houston,Golden State,6.2,-4.3,TRUE
2016,Boston,Atlanta,-1.8,-2.19999999999999,TRUE
2016,Memphis,San Antonio,4.89999999999999,-8.8,TRUE
2016,Charlotte,Miami,-1.10000000000001,0.100000000000009,TRUE
2016,Detroit,Cleveland,4.7,-1,TRUE
2016,Portland,LA Clippers,-0.5,-4.09999999999999,TRUE
2016,Oklahoma City,Dallas,-6.5,1.39999999999999,FALSE
2016,Toronto,Indiana,-5.3,-2.3,FALSE
2016,Golden State,Houston,-6.2,4.3,TRUE
2016,Cleveland,Detroit,-4.7,1,FALSE
2016,Atlanta,Boston,1.8,2.19999999999999,TRUE
2016,San Antonio,Memphis,-4.89999999999999,8.8,FALSE
2016,Toronto,Indiana,-5.3,-2.3,TRUE
2016,Miami,Charlotte,1.10000000000001,-0.100000000000009,TRUE
2016,Oklahoma City,Dallas,-6.5,1.39999999999999,FALSE
2016,LA Clippers,Portland,0.5,4.09999999999999,TRUE
2016,San Antonio,Memphis,-4.89999999999999,8.8,FALSE
2016,Golden State,Houston,-6.2,4.3,FALSE
2016,Atlanta,Boston,1.8,2.19999999999999,TRUE
2016,Cleveland,Detroit,-4.7,1,FALSE
2016,Miami,Charlotte,1.10000000000001,-0.100000000000009,TRUE
2016,Dallas,Oklahoma City,6.5,-1.39999999999999,TRUE
2016,LA Clippers,Portland,0.5,4.09999999999999,TRUE
2016,Indiana,Toronto,5.3,2.3,TRUE
2016,Boston,Atlanta,-1.8,-2.19999999999999,TRUE
2016,Charlotte,Miami,-1.10000000000001,0.100000000000009,FALSE
2016,Portland,LA Clippers,-0.5,-4.09999999999999,FALSE
2016,Houston,Golden State,6.2,-4.3,TRUE
2016,Atlanta,Boston,1.8,2.19999999999999,FALSE
2016,Toronto,Indiana,-5.3,-2.3,TRUE
2016,Miami,Charlotte,1.10000000000001,-0.100000000000009,FALSE
2016,LA Clippers,Portland,0.5,4.09999999999999,TRUE
2016,Oklahoma City,San Antonio,-2.90000000000001,-6.7,TRUE
2016,Charlotte,Miami,-1.10000000000001,0.100000000000009,TRUE
2016,Portland,Golden State,5.7,-4.2,TRUE
2016,Indiana,Toronto,5.3,2.3,TRUE
2016,Atlanta,Cleveland,5.90000000000001,3.09999999999999,TRUE
2016,Oklahoma City,San Antonio,-2.90000000000001,-6.7,FALSE
2016,Miami,Toronto,3.90000000000001,0.799999999999997,FALSE
2016,Portland,Golden State,5.7,-4.2,TRUE
2016,Atlanta,Cleveland,5.90000000000001,3.09999999999999,TRUE
2016,Miami,Toronto,3.90000000000001,0.799999999999997,TRUE
2016,Cleveland,Atlanta,-5.90000000000001,-3.09999999999999,FALSE
2016,San Antonio,Oklahoma City,2.90000000000001,6.7,FALSE
2016,Toronto,Miami,-3.90000000000001,-0.799999999999997,FALSE
2016,Golden State,Portland,-5.7,4.2,TRUE
2016,Cleveland,Atlanta,-5.90000000000001,-3.09999999999999,FALSE
2016,San Antonio,Oklahoma City,2.90000000000001,6.7,TRUE
2016,Toronto,Miami,-3.90000000000001,-0.799999999999997,TRUE
2016,Golden State,Portland,-5.7,4.2,FALSE
2016,Oklahoma City,San Antonio,-2.90000000000001,-6.7,FALSE
2016,Miami,Toronto,3.90000000000001,0.799999999999997,TRUE
2016,Portland,Golden State,5.7,-4.2,TRUE
2016,San Antonio,Oklahoma City,2.90000000000001,6.7,TRUE
2016,Toronto,Miami,-3.90000000000001,-0.799999999999997,TRUE
2016,Miami,Toronto,3.90000000000001,0.799999999999997,TRUE
2016,Oklahoma City,Golden State,1.3,-1.90000000000001,FALSE
2016,Toronto,Cleveland,0.900000000000006,-0.700000000000003,TRUE
2016,Oklahoma City,Golden State,1.3,-1.90000000000001,TRUE
2016,Toronto,Cleveland,0.900000000000006,-0.700000000000003,TRUE
2016,Cleveland,Toronto,-0.900000000000006,0.700000000000003,TRUE
2016,Golden State,Oklahoma City,-1.3,1.90000000000001,TRUE
2016,Cleveland,Toronto,-0.900000000000006,0.700000000000003,TRUE
2016,Golden State,Oklahoma City,-1.3,1.90000000000001,TRUE
2016,Toronto,Cleveland,0.900000000000006,-0.700000000000003,TRUE
2016,Oklahoma City,Golden State,1.3,-1.90000000000001,TRUE
2016,Cleveland,Toronto,-0.900000000000006,0.700000000000003,FALSE
2016,Golden State,Oklahoma City,-1.3,1.90000000000001,FALSE
2016,Oklahoma City,Golden State,1.3,-1.90000000000001,TRUE
2016,Cleveland,Golden State,3.59999999999999,-0.700000000000003,TRUE
2016,Cleveland,Golden State,3.59999999999999,-0.700000000000003,TRUE
2016,Golden State,Cleveland,-3.59999999999999,0.700000000000003,TRUE
2016,Golden State,Cleveland,-3.59999999999999,0.700000000000003,FALSE
2016,Cleveland,Golden State,3.59999999999999,-0.700000000000003,FALSE
2016,Golden State,Cleveland,-3.59999999999999,0.700000000000003,TRUE
2016,Cleveland,Golden State,3.59999999999999,-0.700000000000003,FALSE
2017,Indiana,Cleveland,5.10000000000001,1.5,TRUE
2017,Milwaukee,Toronto,3.2,-1.39999999999999,FALSE
2017,Memphis,San Antonio,3.40000000000001,-3.60000000000001,TRUE
2017,Utah,LA Clippers,3.2,3.10000000000001,FALSE
2017,Atlanta,Washington,6.3,3.60000000000001,TRUE
2017,Portland,Golden State,5.19999999999999,-6.90000000000001,TRUE
2017,Chicago,Boston,3.8,1.5,FALSE
2017,Oklahoma City,Houston,6.39999999999999,1.5,TRUE
2017,Indiana,Cleveland,5.10000000000001,1.5,TRUE
2017,Memphis,San Antonio,3.40000000000001,-3.60000000000001,TRUE
2017,Milwaukee,Toronto,3.2,-1.39999999999999,TRUE
2017,Chicago,Boston,3.8,1.5,FALSE
2017,Utah,LA Clippers,3.2,3.10000000000001,TRUE
2017,Atlanta,Washington,6.3,3.60000000000001,TRUE
2017,Oklahoma City,Houston,6.39999999999999,1.5,TRUE
2017,Portland,Golden State,5.19999999999999,-6.90000000000001,TRUE
2017,Cleveland,Indiana,-5.10000000000001,-1.5,FALSE
2017,Toronto,Milwaukee,-3.2,1.39999999999999,TRUE
2017,San Antonio,Memphis,-3.40000000000001,3.60000000000001,TRUE
2017,Boston,Chicago,-3.8,-1.5,FALSE
2017,Houston,Oklahoma City,-6.39999999999999,-1.5,TRUE
2017,LA Clippers,Utah,-3.2,-3.10000000000001,FALSE
2017,Toronto,Milwaukee,-3.2,1.39999999999999,FALSE
2017,Washington,Atlanta,-6.3,-3.60000000000001,TRUE
2017,San Antonio,Memphis,-3.40000000000001,3.60000000000001,TRUE
2017,Golden State,Portland,-5.19999999999999,6.90000000000001,FALSE
2017,Cleveland,Indiana,-5.10000000000001,-1.5,FALSE
2017,Houston,Oklahoma City,-6.39999999999999,-1.5,FALSE
2017,Boston,Chicago,-3.8,-1.5,FALSE
2017,LA Clippers,Utah,-3.2,-3.10000000000001,TRUE
2017,Milwaukee,Toronto,3.2,-1.39999999999999,TRUE
2017,Washington,Atlanta,-6.3,-3.60000000000001,TRUE
2017,Golden State,Portland,-5.19999999999999,6.90000000000001,FALSE
2017,Oklahoma City,Houston,6.39999999999999,1.5,TRUE
2017,Memphis,San Antonio,3.40000000000001,-3.60000000000001,TRUE
2017,Utah,LA Clippers,3.2,3.10000000000001,FALSE
2017,Atlanta,Washington,6.3,3.60000000000001,TRUE
2017,Chicago,Boston,3.8,1.5,TRUE
2017,Toronto,Milwaukee,-3.2,1.39999999999999,FALSE
2017,San Antonio,Memphis,-3.40000000000001,3.60000000000001,FALSE
2017,Washington,Atlanta,-6.3,-3.60000000000001,FALSE
2017,Boston,Chicago,-3.8,-1.5,FALSE
2017,LA Clippers,Utah,-3.2,-3.10000000000001,FALSE
2017,Washington,Boston,0,-0.900000000000006,TRUE
2017,Utah,LA Clippers,3.2,3.10000000000001,FALSE
2017,Toronto,Cleveland,1.40000000000001,2.5,TRUE
2017,Houston,San Antonio,-3.59999999999999,-5.5,FALSE
2017,Washington,Boston,0,-0.900000000000006,TRUE
2017,Utah,Golden State,6,-1.3,TRUE
2017,Toronto,Cleveland,1.40000000000001,2.5,TRUE
2017,Houston,San Antonio,-3.59999999999999,-5.5,TRUE
2017,Boston,Washington,0,0.900000000000006,TRUE
2017,Utah,Golden State,6,-1.3,TRUE
2017,Cleveland,Toronto,-1.40000000000001,-2.5,FALSE
2017,San Antonio,Houston,3.59999999999999,5.5,FALSE
2017,Golden State,Utah,-6,1.3,FALSE
2017,Cleveland,Toronto,-1.40000000000001,-2.5,FALSE
2017,Boston,Washington,0,0.900000000000006,TRUE
2017,San Antonio,Houston,3.59999999999999,5.5,TRUE
2017,Golden State,Utah,-6,1.3,FALSE
2017,Houston,San Antonio,-3.59999999999999,-5.5,TRUE
2017,Washington,Boston,0,-0.900000000000006,TRUE
2017,San Antonio,Houston,3.59999999999999,5.5,FALSE
2017,Boston,Washington,0,0.900000000000006,TRUE
2017,San Antonio,Golden State,4.39999999999999,0.400000000000006,TRUE
2017,Washington,Boston,0,-0.900000000000006,TRUE
2017,San Antonio,Golden State,4.39999999999999,0.400000000000006,TRUE
2017,Cleveland,Boston,-2.5,-1.90000000000001,FALSE
2017,Cleveland,Boston,-2.5,-1.90000000000001,FALSE
2017,Golden State,San Antonio,-4.39999999999999,-0.400000000000006,FALSE
2017,Boston,Cleveland,2.5,1.90000000000001,FALSE
2017,Golden State,San Antonio,-4.39999999999999,-0.400000000000006,FALSE
2017,Boston,Cleveland,2.5,1.90000000000001,TRUE
2017,Cleveland,Boston,-2.5,-1.90000000000001,FALSE
2017,Cleveland,Golden State,1.89999999999999,-6.40000000000001,TRUE
2017,Cleveland,Golden State,1.89999999999999,-6.40000000000001,TRUE
2017,Golden State,Cleveland,-1.89999999999999,6.40000000000001,FALSE
2017,Golden State,Cleveland,-1.89999999999999,6.40000000000001,TRUE
2017,Cleveland,Golden State,1.89999999999999,-6.40000000000001,TRUE
2018,San Antonio,Golden State,5.8,2.90000000000001,TRUE
2018,Washington,Toronto,4.39999999999999,-2.8,TRUE
2018,Miami,Philadelphia,2.7,-1.3,TRUE
2018,New Orleans,Portland,-0.5,-1.89999999999999,FALSE
2018,Milwaukee,Boston,-2.2,-6.19999999999999,TRUE
2018,Indiana,Cleveland,3.30000000000001,3.90000000000001,FALSE
2018,Utah,Oklahoma City,2.19999999999999,3.19999999999999,TRUE
2018,Minnesota,Houston,1.3,-5.09999999999999,TRUE
2018,Miami,Philadelphia,2.7,-1.3,FALSE
2018,San Antonio,Golden State,5.8,2.90000000000001,TRUE
2018,Washington,Toronto,4.39999999999999,-2.8,TRUE
2018,Milwaukee,Boston,-2.2,-6.19999999999999,TRUE
2018,New Orleans,Portland,-0.5,-1.89999999999999,FALSE
2018,Indiana,Cleveland,3.30000000000001,3.90000000000001,TRUE
2018,Utah,Oklahoma City,2.19999999999999,3.19999999999999,FALSE
2018,Minnesota,Houston,1.3,-5.09999999999999,TRUE
2018,Philadelphia,Miami,-2.7,1.3,FALSE
2018,Portland,New Orleans,0.5,1.89999999999999,TRUE
2018,Golden State,San Antonio,-5.8,-2.90000000000001,FALSE
2018,Cleveland,Indiana,-3.30000000000001,-3.90000000000001,TRUE
2018,Toronto,Washington,-4.39999999999999,2.8,TRUE
2018,Boston,Milwaukee,2.2,6.19999999999999,TRUE
2018,Philadelphia,Miami,-2.7,1.3,FALSE
2018,Portland,New Orleans,0.5,1.89999999999999,TRUE
2018,Houston,Minnesota,-1.3,5.09999999999999,TRUE
2018,Oklahoma City,Utah,-2.19999999999999,-3.19999999999999,TRUE
2018,Boston,Milwaukee,2.2,6.19999999999999,TRUE
2018,Golden State,San Antonio,-5.8,-2.90000000000001,TRUE
2018,Toronto,Washington,-4.39999999999999,2.8,TRUE
2018,Cleveland,Indiana,-3.30000000000001,-3.90000000000001,FALSE
2018,Houston,Minnesota,-1.3,5.09999999999999,FALSE
2018,Oklahoma City,Utah,-2.19999999999999,-3.19999999999999,TRUE
2018,Milwaukee,Boston,-2.2,-6.19999999999999,TRUE
2018,Miami,Philadelphia,2.7,-1.3,TRUE
2018,San Antonio,Golden State,5.8,2.90000000000001,TRUE
2018,Indiana,Cleveland,3.30000000000001,3.90000000000001,TRUE
2018,Washington,Toronto,4.39999999999999,-2.8,TRUE
2018,Minnesota,Houston,1.3,-5.09999999999999,TRUE
2018,Utah,Oklahoma City,2.19999999999999,3.19999999999999,TRUE
2018,Boston,Milwaukee,2.2,6.19999999999999,TRUE
2018,Toronto,Washington,-4.39999999999999,2.8,FALSE
2018,Cleveland,Indiana,-3.30000000000001,-3.90000000000001,TRUE
2018,Oklahoma City,Utah,-2.19999999999999,-3.19999999999999,TRUE
2018,Milwaukee,Boston,-2.2,-6.19999999999999,TRUE
2018,New Orleans,Golden State,4.10000000000001,-0.599999999999994,TRUE
2018,Indiana,Cleveland,3.30000000000001,3.90000000000001,TRUE
2018,Utah,Houston,6.3,2.09999999999999,TRUE
2018,Philadelphia,Boston,-1.90000000000001,-1.09999999999999,TRUE
2018,Cleveland,Toronto,0.899999999999992,-6.09999999999999,FALSE
2018,New Orleans,Golden State,4.10000000000001,-0.599999999999994,TRUE
2018,Utah,Houston,6.3,2.09999999999999,FALSE
2018,Cleveland,Toronto,0.899999999999992,-6.09999999999999,FALSE
2018,Philadelphia,Boston,-1.90000000000001,-1.09999999999999,TRUE
2018,Golden State,New Orleans,-4.10000000000001,0.599999999999994,TRUE
2018,Houston,Utah,-6.3,-2.09999999999999,FALSE
2018,Boston,Philadelphia,1.90000000000001,1.09999999999999,FALSE
2018,Toronto,Cleveland,-0.899999999999992,6.09999999999999,TRUE
2018,Golden State,New Orleans,-4.10000000000001,0.599999999999994,FALSE
2018,Houston,Utah,-6.3,-2.09999999999999,FALSE
2018,Boston,Philadelphia,1.90000000000001,1.09999999999999,TRUE
2018,Toronto,Cleveland,-0.899999999999992,6.09999999999999,TRUE
2018,Utah,Houston,6.3,2.09999999999999,TRUE
2018,New Orleans,Golden State,4.10000000000001,-0.599999999999994,TRUE
2018,Philadelphia,Boston,-1.90000000000001,-1.09999999999999,TRUE
2018,Cleveland,Boston,-5.30000000000001,-8.09999999999999,TRUE
2018,Golden State,Houston,1,-1.7,FALSE
2018,Cleveland,Boston,-5.30000000000001,-8.09999999999999,TRUE
2018,Golden State,Houston,1,-1.7,TRUE
2018,Boston,Cleveland,5.30000000000001,8.09999999999999,TRUE
2018,Houston,Golden State,-1,1.7,TRUE
2018,Boston,Cleveland,5.30000000000001,8.09999999999999,TRUE
2018,Houston,Golden State,-1,1.7,FALSE
2018,Cleveland,Boston,-5.30000000000001,-8.09999999999999,TRUE
2018,Golden State,Houston,1,-1.7,TRUE
2018,Boston,Cleveland,5.30000000000001,8.09999999999999,TRUE
2018,Houston,Golden State,-1,1.7,TRUE
2018,Cleveland,Boston,-5.30000000000001,-8.09999999999999,FALSE
2018,Golden State,Houston,1,-1.7,FALSE
2018,Cleveland,Golden State,0.799999999999997,-4.3,TRUE
2018,Cleveland,Golden State,0.799999999999997,-4.3,TRUE
2018,Golden State,Cleveland,-0.799999999999997,4.3,FALSE
2018,Golden State,Cleveland,-0.799999999999997,4.3,FALSE
