,Boston,Brooklyn,Detroit,Indiana,Milwaukee,Orlando,Philadelphia,Toronto,Denver,Golden State,Houston,LA Clippers,Oklahoma City,Portland,San Antonio,Utah
Boston,0.5,0.849298598665778,0.889429663022966,0.809204724383013,0.279618574624681,0.892446123585597,0.469816595379954,0.360004963505044,0.401505932506921,0.0967584607848091,0.124294521697683,0.513813409386477,0.771334018829295,0.207539268935128,0.43378566001414,0.690289102959841
Brooklyn,0.150701401334222,0.5,0.588027750662361,0.429409818486666,0.0644367389818828,0.595527500811363,0.135873950949202,0.0907548340071811,0.106376036845197,0.0186536676962837,0.0245667860441619,0.15791251606643,0.374431664147844,0.0444070918706015,0.119672770531448,0.283403915224989
Detroit,0.110570336977034,0.411972249337639,0.5,0.345228990957759,0.046032454758669,0.507760794435405,0.0992300349425175,0.0653587659597403,0.0769787476317774,0.0131421575564518,0.0173390242503286,0.116123724909643,0.29544797520389,0.0315308266725095,0.0869584687012797,0.216962280917246
Indiana,0.190795275616987,0.570590181513334,0.654771009042241,0.5,0.0838457968907357,0.661754639732889,0.172825745665011,0.1170989791033,0.136573570124285,0.0246354900153888,0.0323822451690893,0.199474297816285,0.443000910659745,0.0581580414945838,0.152998661269458,0.344482949546534
Milwaukee,0.720381425375319,0.935563261018117,0.953967545241331,0.916154203109264,0.5,0.955311814585888,0.695397037049106,0.591703439012687,0.633476458307642,0.216290189422493,0.267759169132223,0.731377381220404,0.896804584457956,0.402882730781618,0.663723571741745,0.851678338625992
Orlando,0.107553876414402,0.404472499188637,0.492239205564595,0.338245360267111,0.0446881854141123,0.5,0.0964893859680413,0.0634876773675984,0.0748016258984267,0.01274553922309,0.0168179067894367,0.112975006478194,0.289026848647182,0.0305964607964607,0.0845249459599489,0.211734301397115
Philadelphia,0.530183404620046,0.864126049050798,0.900769965057483,0.827174254334989,0.304602962950894,0.903510614031959,0.5,0.388300409660988,0.430867241810418,0.107850123097112,0.138060236628233,0.543923560799911,0.791953285506158,0.228122730020495,0.463678701390699,0.715521063738527
Toronto,0.639995036494956,0.909245165992819,0.93464123404026,0.8829010208967,0.408296560987313,0.936512322632402,0.611699590339012,0.5,0.543923560799913,0.159972914033815,0.201485888050708,0.652627833719353,0.857074553657532,0.317674448165781,0.576621731929199,0.798478799792391
Denver,0.598494067493079,0.893623963154803,0.923021252368223,0.863426429875715,0.366523541692358,0.925198374101573,0.569132758189582,0.456076439200087,0.5,0.137693815120151,0.174627221987457,0.61169959033901,0.834111812648855,0.280773490679632,0.53314436041654,0.768643156605736
Golden State,0.903241539215191,0.981346332303716,0.986857842443548,0.975364509984611,0.783709810577507,0.98725446077691,0.892149876902888,0.840027085966185,0.862306184879849,0.5,0.569888518755342,0.907965253537074,0.969220146045937,0.709704607996581,0.877326199345298,0.95414115160493
Houston,0.875705478302317,0.975433213955838,0.982660975749671,0.967617754830911,0.732240830867777,0.983182093210563,0.861939763371767,0.798514111949292,0.825372778012543,0.430111481244658,0.5,0.881597273887105,0.959621251773511,0.648523072849707,0.843691295895123,0.94013025367582
LA Clippers,0.486186590613523,0.84208748393357,0.883876275090357,0.800525702183715,0.268622618779596,0.887024993521806,0.456076439200089,0.347372166280647,0.38830040966099,0.0920347464629258,0.118402726112896,0.5,0.761440170553461,0.198596396869629,0.420263971517274,0.678350904432561
Oklahoma City,0.228665981170705,0.625568335852156,0.70455202479611,0.556999089340255,0.103195415542044,0.710973151352818,0.208046714493842,0.142925446342468,0.165888187351145,0.0307798539540635,0.0403787482264893,0.238559829446539,0.5,0.0720457197411305,0.185083085972408,0.397860443856703
Portland,0.792460731064872,0.955592908129399,0.96846917332749,0.941841958505416,0.597117269218382,0.969403539203539,0.771877269979505,0.682325551834219,0.719226509320368,0.290295392003419,0.351476927150293,0.801403603130371,0.92795428025887,0.5,0.745243006877005,0.894852390640953
San Antonio,0.56621433998586,0.880327229468552,0.91304153129872,0.847001338730542,0.336276428258255,0.915475054040051,0.536321298609301,0.423378268070801,0.46685563958346,0.122673800654702,0.156308704104877,0.579736028482726,0.814916914027592,0.254756993122995,0.5,0.744196089591934
Utah,0.309710897040159,0.716596084775011,0.783037719082754,0.655517050453466,0.148321661374008,0.788265698602885,0.284478936261473,0.201521200207609,0.231356843394264,0.0458588483950699,0.0598697463241804,0.321649095567439,0.602139556143297,0.105147609359047,0.255803910408066,0.5